	t	x	y	pescados
	408	3.62048e+06	16381.6	0
	409	3.60515e+06	16478.7	0
	410	3.58979e+06	16574.4	0
	411	3.57441e+06	16668.5	0
	412	3.55899e+06	16761	0
	413	3.54356e+06	16851.9	0
	414	3.5281e+06	16941.2	0
	415	3.51263e+06	17028.8	0
	416	3.49714e+06	17114.9	0
	417	3.48163e+06	17199.2	0
	418	3.46612e+06	17281.9	0
	419	3.45059e+06	17363	0
	420	3.43506e+06	17442.3	0
	421	3.41952e+06	17519.9	0
	422	3.40398e+06	17595.9	0
	423	3.38844e+06	17670.1	0
	424	3.3729e+06	17742.6	0
	425	3.35736e+06	17813.4	0
	426	3.34183e+06	17882.5	0
	427	3.3263e+06	17949.8	0
	428	3.31079e+06	18015.4	0
	429	3.29529e+06	18079.3	0
	430	3.2798e+06	18141.5	0
	431	3.26432e+06	18201.9	0
	432	3.24887e+06	18260.6	0
	433	3.23343e+06	18317.6	0
	434	3.21801e+06	18372.8	0
	435	3.20262e+06	18426.4	0
	436	3.18725e+06	18478.2	0
	437	3.17191e+06	18528.3	0
	438	3.1566e+06	18576.8	0
	439	3.14131e+06	18623.5	0
	440	3.12606e+06	18668.6	0
	441	3.11084e+06	18712	0
	442	3.09566e+06	18753.8	0
	443	3.08051e+06	18793.9	0
	444	3.0654e+06	18832.3	0
	445	3.05033e+06	18869.2	0
	446	3.0353e+06	18904.4	0
	447	3.02031e+06	18938	0
	448	3.00537e+06	18970.1	0
	449	2.99047e+06	19000.5	0
	450	2.97562e+06	19029.4	0
	451	2.96081e+06	19056.8	0
	452	2.94605e+06	19082.6	0
	453	2.93134e+06	19107	0
	454	2.91669e+06	19129.8	0
	455	2.90208e+06	19151.1	0
	456	2.88753e+06	19171	0
	457	2.87304e+06	19189.5	0
	458	2.85859e+06	19206.5	0
	459	2.84421e+06	19222.1	0
	460	2.82988e+06	19236.3	0
	461	2.81561e+06	19249.1	0
	462	2.8014e+06	19260.6	0
	463	2.78725e+06	19270.8	0
	464	2.77316e+06	19279.6	0
	465	2.75913e+06	19287.1	0
	466	2.74516e+06	19293.4	0
	467	2.73126e+06	19298.4	0
	468	2.71742e+06	19302.1	0
	469	2.70365e+06	19304.7	0
	470	2.68994e+06	19306	0
	471	2.67629e+06	19306.1	0
	472	2.66271e+06	19305.1	0
	473	2.6492e+06	19303	0
	474	2.63576e+06	19299.7	0
	475	2.62238e+06	19295.3	0
	476	2.60907e+06	19289.8	0
	477	2.59583e+06	19283.3	0
	478	2.58266e+06	19275.7	0
	479	2.56956e+06	19267.1	0
	480	2.55653e+06	19257.5	0
	481	2.54357e+06	19246.9	0
	482	2.53067e+06	19235.3	0
	483	2.51785e+06	19222.8	0
	484	2.50511e+06	19209.3	0
	485	2.49243e+06	19195	0
	486	2.47982e+06	19179.7	0
	487	2.46729e+06	19163.6	0
	488	2.45482e+06	19146.6	0
	489	2.44243e+06	19128.8	0
	490	2.43011e+06	19110.2	0
	491	2.41787e+06	19090.8	0
	492	2.40569e+06	19070.6	0
	493	2.39359e+06	19049.6	0
	494	2.38156e+06	19027.9	0
	495	2.3696e+06	19005.4	0
	496	2.35772e+06	18982.3	0
	497	2.34591e+06	18958.4	0
	498	2.33417e+06	18933.9	0
	499	2.3225e+06	18908.7	0
	500	2.31091e+06	18882.8	0
	501	2.29939e+06	18856.3	0
	502	2.28794e+06	18829.3	0
	503	2.27656e+06	18801.6	0
	504	2.26526e+06	18773.3	0
	505	2.25403e+06	18744.5	0
	506	2.24287e+06	18715.1	0
	507	2.23178e+06	18685.2	0
	508	2.22076e+06	18654.8	0
	509	2.20982e+06	18623.8	0
	510	2.19895e+06	18592.4	0
	511	2.18815e+06	18560.5	0
	512	2.17742e+06	18528.1	0
	513	2.16676e+06	18495.3	0
	514	2.15617e+06	18462	0
	515	2.14565e+06	18428.3	0
	516	2.1352e+06	18394.2	0
