t,I,S,R
57.4,37.4966,123.339,839.165
57.5,37.4717,123.354,839.175
57.6,37.4471,123.37,839.183
57.7,37.4228,123.387,839.191
57.8,37.3987,123.405,839.197
57.9,37.3749,123.424,839.202
58,37.3514,123.443,839.205
58.1,37.3282,123.464,839.208
58.2,37.3054,123.485,839.209
58.3,37.2829,123.508,839.21
58.4,37.2607,123.531,839.209
58.5,37.2389,123.554,839.207
58.6,37.2174,123.579,839.204
58.7,37.1964,123.604,839.2
58.8,37.1757,123.63,839.194
58.9,37.1554,123.656,839.188
59,37.1356,123.683,839.181
59.1,37.1161,123.711,839.173
59.2,37.0971,123.739,839.164
59.3,37.0785,123.768,839.154
59.4,37.0603,123.797,839.143
59.5,37.0426,123.826,839.131
59.6,37.0253,123.856,839.119
59.7,37.0085,123.886,839.105
59.8,36.9921,123.917,839.091
59.9,36.9762,123.948,839.076
60,36.9608,123.979,839.06
60.1,36.9458,124.011,839.043
60.2,36.9313,124.042,839.026
60.3,36.9173,124.074,839.008
60.4,36.9037,124.107,838.99
60.5,36.8907,124.139,838.971
60.6,36.8781,124.171,838.951
60.7,36.866,124.204,838.93
60.8,36.8544,124.236,838.909
60.9,36.8432,124.269,838.888
61,36.8326,124.301,838.866
61.1,36.8224,124.334,838.844
61.2,36.8127,124.367,838.821
61.3,36.8035,124.399,838.797
61.4,36.7948,124.432,838.774
61.5,36.7866,124.464,838.749
61.6,36.7788,124.496,838.725
61.7,36.7715,124.528,838.7
61.8,36.7647,124.56,838.675
61.9,36.7583,124.592,838.65
62,36.7525,124.623,838.624
62.1,36.747,124.655,838.598
62.2,36.7421,124.686,838.572
62.3,36.7376,124.716,838.546
62.4,36.7335,124.747,838.52
62.5,36.7299,124.777,838.493
62.6,36.7268,124.807,838.466
62.7,36.724,124.836,838.44
62.8,36.7217,124.866,838.413
62.9,36.7199,124.894,838.386
63,36.7184,124.923,838.359
63.1,36.7174,124.951,838.332
63.2,36.7168,124.978,838.305
63.3,36.7165,125.005,838.278
63.4,36.7167,125.032,838.251
63.5,36.7173,125.058,838.225
63.6,36.7182,125.084,838.198
63.7,36.7196,125.109,838.172
63.8,36.7213,125.134,838.145
63.9,36.7233,125.158,838.119
64,36.7257,125.181,838.093
64.1,36.7285,125.205,838.067
64.2,36.7316,125.227,838.041
64.3,36.735,125.249,838.016
64.4,36.7387,125.271,837.99
64.5,36.7428,125.292,837.965
64.6,36.7471,125.312,837.941
64.7,36.7518,125.332,837.916
64.8,36.7568,125.351,837.892
64.9,36.762,125.37,837.868
65,36.7675,125.388,837.845
65.1,36.7733,125.405,837.821
65.2,36.7793,125.422,837.798
65.3,36.7856,125.438,837.776
65.4,36.7921,125.454,837.754
65.5,36.7988,125.469,837.732
65.6,36.8058,125.484,837.711
65.7,36.813,125.497,837.69
65.8,36.8203,125.511,837.669
65.9,36.8279,125.523,837.649
66,36.8357,125.535,837.629
66.1,36.8436,125.547,837.61
66.2,36.8517,125.557,837.591
66.3,36.8599,125.568,837.572
66.4,36.8683,125.577,837.554
66.5,36.8769,125.586,837.537
66.6,36.8856,125.594,837.52
66.7,36.8944,125.602,837.503
66.8,36.9033,125.609,837.487
66.9,36.9123,125.616,837.472
67,36.9214,125.622,837.457
67.1,36.9306,125.627,837.442
67.2,36.9399,125.632,837.428
67.3,36.9493,125.637,837.414
67.4,36.9587,125.64,837.401
67.5,36.9682,125.643,837.388
67.6,36.9777,125.646,837.376
67.7,36.9873,125.648,837.365
67.8,36.9969,125.65,837.353
67.9,37.0065,125.651,837.343
68,37.0161,125.651,837.333
68.1,37.0258,125.651,837.323
68.2,37.0354,125.651,837.314
68.3,37.045,125.65,837.305
68.4,37.0547,125.648,837.297
68.5,37.0643,125.646,837.29
68.6,37.0738,125.644,837.283
68.7,37.0834,125.641,837.276
68.8,37.0929,125.637,837.27
68.9,37.1023,125.634,837.264
69,37.1117,125.629,837.259
69.1,37.121,125.625,837.254
69.2,37.1303,125.62,837.25
69.3,37.1395,125.614,837.246
69.4,37.1486,125.608,837.243
69.5,37.1576,125.602,837.24
69.6,37.1665,125.596,837.238
69.7,37.1753,125.589,837.236
69.8,37.1841,125.581,837.235
69.9,37.1927,125.574,837.233
70,37.2012,125.566,837.233
70.1,37.2096,125.558,837.233
70.2,37.2179,125.549,837.233
70.3,37.226,125.54,837.234
70.4,37.234,125.531,837.235
70.5,37.2419,125.522,837.236
70.6,37.2496,125.512,837.238
70.7,37.2572,125.502,837.24
70.8,37.2647,125.492,837.243
70.9,37.272,125.482,837.246
71,37.2791,125.472,837.249
71.1,37.2861,125.461,837.253
71.2,37.293,125.45,837.257
71.3,37.2996,125.439,837.261
71.4,37.3061,125.428,837.266
71.5,37.3125,125.417,837.271
71.6,37.3187,125.405,837.276
71.7,37.3247,125.394,837.282
71.8,37.3305,125.382,837.288
71.9,37.3361,125.37,837.294
72,37.3416,125.358,837.3
72.1,37.3469,125.346,837.307
72.2,37.3521,125.334,837.314
72.3,37.357,125.322,837.321
72.4,37.3618,125.31,837.328
72.5,37.3664,125.298,837.336
72.6,37.3708,125.286,837.344
72.7,37.375,125.273,837.352
72.8,37.379,125.261,837.36
72.9,37.3829,125.249,837.368
