t,I,S,R
45,55.4586,231.463,713.078
45.1,55.2504,230.486,714.263
45.2,55.0323,229.532,715.435
45.3,54.8046,228.602,716.594
45.4,54.5678,227.694,717.738
45.5,54.3222,226.81,718.868
45.6,54.0681,225.949,719.983
45.7,53.806,225.112,721.082
45.8,53.5363,224.297,722.166
45.9,53.2593,223.506,723.234
46,52.9754,222.738,724.286
46.1,52.6849,221.994,725.321
46.2,52.3883,221.272,726.339
46.3,52.0859,220.574,727.341
46.4,51.778,219.898,728.324
46.5,51.465,219.245,729.29
46.6,51.1473,218.614,730.238
46.7,50.8252,218.006,731.169
46.8,50.499,217.421,732.081
46.9,50.169,216.857,732.974
47,49.8356,216.315,733.849
47.1,49.4991,215.795,734.705
47.2,49.1598,215.297,735.543
47.3,48.818,214.82,736.362
47.4,48.474,214.364,737.162
47.5,48.1281,213.929,737.943
47.6,47.7805,213.515,738.704
47.7,47.4315,213.121,739.447
47.8,47.0815,212.748,740.171
47.9,46.7305,212.394,740.875
48,46.3789,212.06,741.561
48.1,46.0269,211.746,742.227
48.2,45.6748,211.451,742.874
48.3,45.3227,211.175,743.503
48.4,44.9708,210.917,744.112
48.5,44.6194,210.678,744.702
48.6,44.2687,210.458,745.274
48.7,43.9189,210.255,745.826
48.8,43.5701,210.07,746.36
48.9,43.2224,209.902,746.876
49,42.8762,209.751,747.372
49.1,42.5315,209.618,747.851
49.2,42.1884,209.5,748.311
49.3,41.8472,209.4,748.753
49.4,41.5079,209.315,749.177
49.5,41.1707,209.246,749.583
49.6,40.8357,209.192,749.972
49.7,40.503,209.154,750.343
49.8,40.1728,209.131,750.696
49.9,39.8451,209.122,751.032
50,39.52,209.128,751.352
50.1,39.1977,209.149,751.654
50.2,38.8781,209.183,751.939
50.3,38.5615,209.23,752.208
50.4,38.2479,209.291,752.461
50.5,37.9372,209.366,752.697
50.6,37.6297,209.453,752.917
50.7,37.3254,209.553,753.122
50.8,37.0243,209.665,753.311
50.9,36.7265,209.789,753.484
51,36.432,209.926,753.642
51.1,36.1408,210.074,753.786
51.2,35.8531,210.233,753.914
51.3,35.5688,210.403,754.028
51.4,35.2881,210.585,754.127
