t,I,S,R
23.9,159.828,18.1103,822.062
23.95,158.974,18.1939,822.832
24,158.125,18.2778,823.598
24.05,157.281,18.3621,824.357
24.1,156.442,18.4466,825.111
24.15,155.609,18.5315,825.86
24.2,154.78,18.6167,826.603
24.25,153.957,18.7022,827.341
24.3,153.139,18.788,828.073
24.35,152.326,18.8742,828.8
24.4,151.517,18.9606,829.522
24.45,150.714,19.0474,830.239
24.5,149.916,19.1344,830.95
24.55,149.122,19.2218,831.656
24.6,148.333,19.3095,832.357
24.65,147.549,19.3975,833.053
24.7,146.77,19.4857,833.744
24.75,145.996,19.5743,834.43
24.8,145.226,19.6632,835.11
24.85,144.462,19.7524,835.786
24.9,143.701,19.8418,836.457
24.95,142.946,19.9316,837.123
25,142.195,20.0216,837.783
25.05,141.448,20.112,838.44
25.1,140.707,20.2026,839.091
25.15,139.969,20.2935,839.737
25.2,139.237,20.3848,840.379
25.25,138.508,20.4763,841.015
25.3,137.784,20.568,841.648
25.35,137.065,20.6601,842.275
25.4,136.35,20.7525,842.898
25.45,135.639,20.8451,843.516
25.5,134.933,20.938,844.129
25.55,134.231,21.0312,844.738
25.6,133.533,21.1247,845.342
25.65,132.839,21.2184,845.942
25.7,132.15,21.3125,846.537
25.75,131.465,21.4068,847.128
25.8,130.784,21.5014,847.715
25.85,130.107,21.5962,848.297
25.9,129.435,21.6913,848.874
25.95,128.766,21.7867,849.447
26,128.101,21.8824,850.016
26.05,127.441,21.9783,850.581
26.1,126.785,22.0745,851.141
26.15,126.132,22.171,851.697
26.2,125.484,22.2677,852.249
26.25,124.839,22.3647,852.796
26.3,124.198,22.462,853.34
26.35,123.562,22.5595,853.879
26.4,122.929,22.6573,854.414
26.45,122.3,22.7554,854.945
26.5,121.674,22.8537,855.472
26.55,121.053,22.9522,855.995
26.6,120.435,23.0511,856.514
26.65,119.821,23.1502,857.028
26.7,119.211,23.2495,857.539
26.75,118.605,23.3491,858.046
26.8,118.002,23.449,858.549
26.85,117.403,23.5491,859.048
26.9,116.807,23.6494,859.543
26.95,116.215,23.7501,860.035
27,115.627,23.8509,860.522
27.05,115.042,23.952,861.006
27.1,114.461,24.0534,861.486
27.15,113.883,24.155,861.962
27.2,113.309,24.2569,862.434
27.25,112.738,24.359,862.903
27.3,112.171,24.4614,863.368
27.35,111.607,24.564,863.829
27.4,111.047,24.6668,864.287
27.45,110.49,24.7699,864.741
27.5,109.936,24.8733,865.191
27.55,109.385,24.9769,865.638
27.6,108.838,25.0807,866.081
27.65,108.295,25.1848,866.521
27.7,107.754,25.2891,866.957
27.75,107.217,25.3936,867.389
27.8,106.683,25.4984,867.819
27.85,106.152,25.6034,868.244
27.9,105.625,25.7087,868.667
27.95,105.1,25.8142,869.086
28,104.579,25.9199,869.501
28.05,104.061,26.0259,869.913
28.1,103.546,26.1321,870.322
28.15,103.034,26.2385,870.727
28.2,102.525,26.3452,871.129
28.25,102.02,26.4521,871.528
28.3,101.517,26.5592,871.924
28.35,101.017,26.6666,872.316
28.4,100.521,26.7742,872.705
28.45,100.027,26.882,873.091
28.5,99.5362,26.9901,873.474
28.55,99.0484,27.0984,873.853
28.6,98.5636,27.2069,874.23
28.65,98.0816,27.3156,874.603
28.7,97.6026,27.4246,874.973
28.75,97.1264,27.5338,875.34
28.8,96.6531,27.6432,875.704
28.85,96.1826,27.7528,876.065
28.9,95.7149,27.8627,876.422
28.95,95.25,27.9728,876.777
29,94.7879,28.0831,877.129
29.05,94.3286,28.1936,877.478
29.1,93.872,28.3043,877.824
29.15,93.4182,28.4153,878.167
29.2,92.967,28.5265,878.506
29.25,92.5186,28.6379,878.844
29.3,92.0728,28.7495,879.178
29.35,91.6297,28.8613,879.509
29.4,91.1893,28.9734,879.837
29.45,90.7514,29.0857,880.163
29.5,90.3162,29.1982,880.486
29.55,89.8836,29.3109,880.806
29.6,89.4535,29.4238,881.123
29.65,89.0261,29.5369,881.437
29.7,88.6011,29.6502,881.749
29.75,88.1787,29.7638,882.057
29.8,87.7588,29.8776,882.364
29.85,87.3414,29.9915,882.667
29.9,86.9265,30.1057,882.968
29.95,86.5141,30.2201,883.266
30,86.1041,30.3347,883.561
30.05,85.6965,30.4495,883.854
30.1,85.2914,30.5646,884.144
30.15,84.8887,30.6798,884.432
30.2,84.4884,30.7952,884.716
30.25,84.0904,30.9109,884.999
30.3,83.6948,31.0267,885.279
30.35,83.3015,31.1427,885.556
30.4,82.9106,31.259,885.83
30.45,82.522,31.3754,886.103
30.5,82.1357,31.4921,886.372
30.55,81.7517,31.609,886.639
30.6,81.3699,31.726,886.904
30.65,80.9905,31.8433,887.166
30.7,80.6132,31.9607,887.426
30.75,80.2382,32.0784,887.683
30.8,79.8654,32.1963,887.938
30.85,79.4948,32.3143,888.191
30.9,79.1264,32.4326,888.441
30.95,78.7602,32.551,888.689
31,78.3961,32.6697,888.934
31.05,78.0342,32.7885,889.177
31.1,77.6744,32.9076,889.418
31.15,77.3168,33.0268,889.656
31.2,76.9612,33.1462,889.893
31.25,76.6078,33.2658,890.126
31.3,76.2564,33.3856,890.358
31.35,75.9071,33.5056,890.587
31.4,75.5598,33.6258,890.814
31.45,75.2146,33.7462,891.039
31.5,74.8714,33.8668,891.262
31.55,74.5303,33.9876,891.482
31.6,74.1911,34.1085,891.7
31.65,73.8539,34.2297,891.916
31.7,73.5188,34.351,892.13
31.75,73.1855,34.4725,892.342
31.8,72.8543,34.5942,892.552
31.85,72.5249,34.7161,892.759
31.9,72.1976,34.8382,892.964
31.95,71.8721,34.9604,893.167
32,71.5485,35.0829,893.369
32.05,71.2268,35.2055,893.568
32.1,70.9071,35.3283,893.765
32.15,70.5891,35.4513,893.96
32.2,70.2731,35.5745,894.152
32.25,69.9589,35.6978,894.343
32.3,69.6465,35.8214,894.532
32.35,69.3359,35.9451,894.719
32.4,69.0272,36.069,894.904
32.45,68.7203,36.1931,895.087
32.5,68.4151,36.3173,895.268
32.55,68.1118,36.4417,895.447
32.6,67.8102,36.5663,895.623
32.65,67.5103,36.6911,895.799
32.7,67.2123,36.8161,895.972
32.75,66.9159,36.9412,896.143
32.8,66.6213,37.0665,896.312
32.85,66.3284,37.192,896.48
32.9,66.0372,37.3176,896.645
32.95,65.7476,37.4435,896.809
33,65.4598,37.5695,896.971
33.05,65.1736,37.6956,897.131
33.1,64.8892,37.822,897.289
33.15,64.6063,37.9485,897.445
33.2,64.3251,38.0752,897.6
33.25,64.0455,38.202,897.752
33.3,63.7676,38.329,897.903
33.35,63.4912,38.4562,898.053
33.4,63.2165,38.5836,898.2
33.45,62.9434,38.7111,898.346
33.5,62.6718,38.8388,898.489
33.55,62.4018,38.9666,898.632
33.6,62.1334,39.0946,898.772
33.65,61.8665,39.2228,898.911
33.7,61.6011,39.3512,899.048
33.75,61.3373,39.4797,899.183
33.8,61.0751,39.6083,899.317
33.85,60.8143,39.7372,899.449
33.9,60.555,39.8662,899.579
33.95,60.2973,39.9953,899.707
34,60.041,40.1246,899.834
34.05,59.7862,40.2541,899.96
34.1,59.5329,40.3837,900.083
34.15,59.281,40.5135,900.205
34.2,59.0306,40.6435,900.326
34.25,58.7816,40.7736,900.445
34.3,58.534,40.9038,900.562
34.35,58.2879,41.0343,900.678
34.4,58.0432,41.1648,900.792
34.45,57.7999,41.2956,900.905
34.5,57.558,41.4264,901.016
34.55,57.3175,41.5575,901.125
34.6,57.0783,41.6887,901.233
34.65,56.8406,41.82,901.339
34.7,56.6042,41.9515,901.444
34.75,56.3691,42.0831,901.548
34.8,56.1354,42.2149,901.65
34.85,55.9031,42.3469,901.75
34.9,55.6721,42.479,901.849
34.95,55.4423,42.6112,901.946
35,55.214,42.7436,902.042
35.05,54.9869,42.8762,902.137
35.1,54.7611,43.0088,902.23
35.15,54.5366,43.1417,902.322
35.2,54.3134,43.2747,902.412
35.25,54.0914,43.4078,902.501
35.3,53.8708,43.5411,902.588
35.35,53.6514,43.6745,902.674
35.4,53.4332,43.808,902.759
35.45,53.2163,43.9417,902.842
35.5,53.0006,44.0756,902.924
35.55,52.7861,44.2096,903.004
35.6,52.5729,44.3437,903.083
35.65,52.3609,44.4779,903.161
35.7,52.1501,44.6124,903.238
35.75,51.9405,44.7469,903.313
35.8,51.7321,44.8816,903.386
35.85,51.5248,45.0164,903.459
35.9,51.3188,45.1514,903.53
35.95,51.1139,45.2865,903.6
36,50.9102,45.4217,903.668
36.05,50.7076,45.5571,903.735
36.1,50.5062,45.6926,903.801
36.15,50.3059,45.8282,903.866
36.2,50.1067,45.964,903.929
36.25,49.9087,46.0999,903.991
36.3,49.7118,46.236,904.052
36.35,49.5161,46.3721,904.112
36.4,49.3214,46.5085,904.17
36.45,49.1278,46.6449,904.227
