Probabilidad,Diferencia,Esperado
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,68.000000
0.100000,4,54.000000
0.100000,5,36.000000
0.100000,6,22.000000
0.100000,7,18.000000
0.100000,8,4.000000
0.100000,9,0.000000
0.100000,10,-18.000000
0.200000,3,60.000000
0.200000,4,30.000000
0.200000,5,20.000000
0.200000,6,12.000000
0.200000,7,6.000000
0.200000,8,-22.000000
0.200000,9,-14.000000
0.200000,10,-82.000000
0.300000,3,34.000000
0.300000,4,-12.000000
0.300000,5,-4.000000
0.300000,6,-64.000000
0.300000,7,-106.000000
0.300000,8,-76.000000
0.300000,9,-100.000000
0.300000,10,-144.000000
0.400000,3,-6.000000
0.400000,4,-22.000000
0.400000,5,-144.000000
0.400000,6,-124.000000
0.400000,7,-156.000000
0.400000,8,-314.000000
0.400000,9,-410.000000
0.400000,10,-334.000000
0.500000,3,-34.000000
0.500000,4,-14.000000
0.500000,5,-130.000000
0.500000,6,-434.000000
0.500000,7,-486.000000
0.500000,8,-612.000000
0.500000,9,-838.000000
0.500000,10,-1162.000000
0.600000,3,56.000000
0.600000,4,-30.000000
0.600000,5,-106.000000
0.600000,6,-20.000000
0.600000,7,-228.000000
0.600000,8,-180.000000
0.600000,9,-254.000000
0.600000,10,-460.000000
0.700000,3,12.000000
0.700000,4,-6.000000
0.700000,5,-30.000000
0.700000,6,-42.000000
0.700000,7,-78.000000
0.700000,8,-98.000000
0.700000,9,-98.000000
0.700000,10,-156.000000
0.800000,3,20.000000
0.800000,4,26.000000
0.800000,5,28.000000
0.800000,6,6.000000
0.800000,7,2.000000
0.800000,8,-38.000000
0.800000,9,-52.000000
0.800000,10,-98.000000
0.900000,3,66.000000
0.900000,4,50.000000
0.900000,5,44.000000
0.900000,6,24.000000
0.900000,7,12.000000
0.900000,8,-4.000000
0.900000,9,-16.000000
0.900000,10,-18.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,60.000000
0.100000,4,40.000000
0.100000,5,44.000000
0.100000,6,16.000000
0.100000,7,-4.000000
0.100000,8,-2.000000
0.100000,9,-18.000000
0.100000,10,-20.000000
0.200000,3,58.000000
0.200000,4,38.000000
0.200000,5,-6.000000
0.200000,6,10.000000
0.200000,7,-10.000000
0.200000,8,-22.000000
0.200000,9,-56.000000
0.200000,10,-48.000000
0.300000,3,34.000000
0.300000,4,-4.000000
0.300000,5,26.000000
0.300000,6,-74.000000
0.300000,7,-96.000000
0.300000,8,-80.000000
0.300000,9,-72.000000
0.300000,10,-288.000000
0.400000,3,50.000000
0.400000,4,-80.000000
0.400000,5,-172.000000
0.400000,6,-82.000000
0.400000,7,-188.000000
0.400000,8,-334.000000
0.400000,9,-326.000000
0.400000,10,-422.000000
0.500000,3,-6.000000
0.500000,4,-88.000000
0.500000,5,-180.000000
0.500000,6,-176.000000
0.500000,7,-408.000000
0.500000,8,-654.000000
0.500000,9,-1258.000000
0.500000,10,-670.000000
0.600000,3,14.000000
0.600000,4,-60.000000
0.600000,5,-80.000000
0.600000,6,-96.000000
0.600000,7,-196.000000
0.600000,8,-280.000000
0.600000,9,-278.000000
0.600000,10,-298.000000
0.700000,3,14.000000
0.700000,4,22.000000
0.700000,5,-66.000000
0.700000,6,-90.000000
0.700000,7,-128.000000
0.700000,8,-94.000000
0.700000,9,-92.000000
0.700000,10,-186.000000
0.800000,3,48.000000
0.800000,4,48.000000
0.800000,5,28.000000
0.800000,6,10.000000
0.800000,7,-26.000000
0.800000,8,-62.000000
0.800000,9,-46.000000
0.800000,10,-72.000000
0.900000,3,56.000000
0.900000,4,52.000000
0.900000,5,42.000000
0.900000,6,28.000000
0.900000,7,16.000000
0.900000,8,14.000000
0.900000,9,-10.000000
0.900000,10,-18.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,48.000000
0.100000,4,50.000000
0.100000,5,36.000000
0.100000,6,30.000000
0.100000,7,22.000000
0.100000,8,-4.000000
0.100000,9,-10.000000
0.100000,10,-24.000000
0.200000,3,68.000000
0.200000,4,26.000000
0.200000,5,12.000000
0.200000,6,12.000000
0.200000,7,-8.000000
0.200000,8,-34.000000
0.200000,9,-62.000000
0.200000,10,-108.000000
0.300000,3,36.000000
0.300000,4,22.000000
0.300000,5,-14.000000
0.300000,6,-36.000000
0.300000,7,-76.000000
0.300000,8,-74.000000
0.300000,9,-140.000000
0.300000,10,-134.000000
0.400000,3,36.000000
0.400000,4,-8.000000
0.400000,5,-76.000000
0.400000,6,-110.000000
0.400000,7,-196.000000
0.400000,8,-186.000000
0.400000,9,-144.000000
0.400000,10,-206.000000
0.500000,3,14.000000
0.500000,4,-8.000000
0.500000,5,-200.000000
0.500000,6,-158.000000
0.500000,7,-250.000000
0.500000,8,-730.000000
0.500000,9,-588.000000
0.500000,10,-1266.000000
0.600000,3,12.000000
0.600000,4,6.000000
0.600000,5,-30.000000
0.600000,6,-92.000000
0.600000,7,-186.000000
0.600000,8,-218.000000
0.600000,9,-540.000000
0.600000,10,-286.000000
0.700000,3,36.000000
0.700000,4,-6.000000
0.700000,5,6.000000
0.700000,6,-44.000000
0.700000,7,-114.000000
0.700000,8,-138.000000
0.700000,9,-136.000000
0.700000,10,-158.000000
0.800000,3,46.000000
0.800000,4,44.000000
0.800000,5,24.000000
0.800000,6,14.000000
0.800000,7,-14.000000
0.800000,8,-32.000000
0.800000,9,-66.000000
0.800000,10,-52.000000
0.900000,3,52.000000
0.900000,4,56.000000
0.900000,5,34.000000
0.900000,6,30.000000
0.900000,7,8.000000
0.900000,8,0.000000
0.900000,9,-14.000000
0.900000,10,-14.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
