Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
10,0.500000,3,10.000000,100.000000,-2.000000
500,0.500000,3,10.000000,100.000000,11.960000
10000,0.500000,3,10.000000,100.000000,10.334000
10,0.500000,3,10.000000,100.000000,6.000000
500,0.500000,3,10.000000,100.000000,11.200000
10000,0.500000,3,10.000000,100.000000,9.342000
10,0.500000,3,10.000000,100.000000,-32.000000
500,0.500000,3,10.000000,100.000000,2.160000
10000,0.500000,3,10.000000,100.000000,9.820000
10,0.500000,3,10.000000,100.000000,10.000000
500,0.500000,3,10.000000,100.000000,10.640000
10000,0.500000,3,10.000000,100.000000,9.626000
10,0.500000,3,10.000000,100.000000,-44.000000
500,0.500000,3,10.000000,100.000000,14.400000
10000,0.500000,3,10.000000,100.000000,9.024000
10,0.500000,3,10.000000,100.000000,0.000000
500,0.500000,3,10.000000,100.000000,3.400000
10000,0.500000,3,10.000000,100.000000,9.852000
10,0.500000,3,10.000000,100.000000,2.000000
500,0.500000,3,10.000000,100.000000,5.160000
10000,0.500000,3,10.000000,100.000000,11.426000
10,0.500000,3,10.000000,100.000000,20.000000
500,0.500000,3,10.000000,100.000000,7.640000
10000,0.500000,3,10.000000,100.000000,10.592000
10,0.500000,3,10.000000,100.000000,22.000000
