	t	x	y	pescados
	664	4.68172e+06	4208.78	8961.13
	665	4.68039e+06	4286.01	8961.13
	666	4.67876e+06	4364.42	8961.13
	667	4.67683e+06	4444.01	8961.13
	668	4.67463e+06	4524.78	8961.13
	669	4.67215e+06	4606.75	8961.13
	670	4.66941e+06	4689.9	8961.13
	671	4.66642e+06	4774.25	8961.13
	672	4.66318e+06	4859.8	8961.13
	673	4.65971e+06	4946.54	8961.13
	674	4.656e+06	5034.47	8961.13
	675	4.65207e+06	5123.6	8961.13
	676	4.64793e+06	5213.93	8961.13
	677	4.64357e+06	5305.46	8961.13
	678	4.63901e+06	5398.17	8961.13
	679	4.63425e+06	5492.08	8961.13
	680	4.62929e+06	5587.17	8961.13
	681	4.62414e+06	5683.44	8961.13
	682	4.61881e+06	5780.9	8961.13
	683	4.61329e+06	5879.52	8961.13
	684	4.60759e+06	5979.32	8961.13
	685	4.60171e+06	6080.27	8961.13
	686	4.59566e+06	6182.38	8961.13
	687	4.58944e+06	6285.64	8961.13
	688	4.58305e+06	6390.02	8961.13
	689	4.5765e+06	6495.54	8961.13
	690	4.56978e+06	6602.17	8961.13
	691	4.5629e+06	6709.9	8961.13
	692	4.55587e+06	6818.73	8961.13
	693	4.54867e+06	6928.63	8961.13
	694	4.54133e+06	7039.6	8961.13
	695	4.53382e+06	7151.62	8961.13
	696	4.52617e+06	7264.67	8961.13
	697	4.51837e+06	7378.73	8961.13
	698	4.51042e+06	7493.8	8961.13
	699	4.50232e+06	7609.84	8961.13
	700	4.49407e+06	7726.85	8961.13
	701	4.48568e+06	7844.79	8961.13
	702	4.47715e+06	7963.66	8961.13
	703	4.46847e+06	8083.42	8961.13
	704	4.45965e+06	8204.05	8961.13
	705	4.45069e+06	8325.54	8961.13
	706	4.44159e+06	8447.84	8961.13
	707	4.43235e+06	8570.95	8961.13
	708	4.42297e+06	8694.82	8961.13
	709	4.41346e+06	8819.44	8961.13
	710	4.40381e+06	8944.78	8961.13
	711	4.39403e+06	9070.8	8961.13
	712	4.38411e+06	9197.48	8961.13
