	t	x	y
	702	1.4216e+06	11702.5
	703	1.43107e+06	11692.2
	704	1.44087e+06	11682.5
	705	1.451e+06	11673.3
	706	1.46147e+06	11664.8
	707	1.47226e+06	11656.9
	708	1.4834e+06	11649.6
	709	1.49487e+06	11643
	710	1.50669e+06	11637
	711	1.51886e+06	11631.6
	712	1.53138e+06	11627
	713	1.54424e+06	11623
	714	1.55745e+06	11619.7
	715	1.57102e+06	11617.2
	716	1.58493e+06	11615.4
	717	1.5992e+06	11614.3
	718	1.61382e+06	11613.9
	719	1.62879e+06	11614.4
	720	1.6441e+06	11615.6
	721	1.65976e+06	11617.5
	722	1.67577e+06	11620.3
	723	1.69211e+06	11623.9
	724	1.70879e+06	11628.4
	725	1.7258e+06	11633.6
	726	1.74313e+06	11639.7
	727	1.76079e+06	11646.7
	728	1.77876e+06	11654.6
	729	1.79703e+06	11663.3
	730	1.81561e+06	11672.9
	731	1.83448e+06	11683.5
	732	1.85363e+06	11694.9
	733	1.87305e+06	11707.3
	734	1.89274e+06	11720.6
	735	1.91267e+06	11734.9
	736	1.93285e+06	11750.1
	737	1.95326e+06	11766.3
	738	1.97388e+06	11783.5
	739	1.9947e+06	11801.7
	740	2.01572e+06	11820.8
	741	2.0369e+06	11841
	742	2.05825e+06	11862.1
	743	2.07974e+06	11884.3
	744	2.10136e+06	11907.5
	745	2.12309e+06	11931.6
	746	2.14491e+06	11956.9
	747	2.16682e+06	11983.1
	748	2.18878e+06	12010.4
	749	2.21079e+06	12038.7
	750	2.23283e+06	12068
	751	2.25487e+06	12098.4
	752	2.2769e+06	12129.8
	753	2.2989e+06	12162.3
	754	2.32086e+06	12195.7
	755	2.34275e+06	12230.2
	756	2.36456e+06	12265.8
	757	2.38627e+06	12302.3
	758	2.40785e+06	12339.9
	759	2.4293e+06	12378.4
	760	2.4506e+06	12418
	761	2.47172e+06	12458.5
	762	2.49265e+06	12500.1
	763	2.51338e+06	12542.6
	764	2.53388e+06	12586.1
	765	2.55415e+06	12630.5
	766	2.57416e+06	12675.9
	767	2.5939e+06	12722.2
	768	2.61336e+06	12769.4
	769	2.63253e+06	12817.5
	770	2.65138e+06	12866.5
	771	2.66992e+06	12916.4
	772	2.68811e+06	12967.1
	773	2.70596e+06	13018.6
	774	2.72346e+06	13071
	775	2.74059e+06	13124.1
	776	2.75734e+06	13178
	777	2.7737e+06	13232.7
	778	2.78968e+06	13288.1
	779	2.80525e+06	13344.2
	780	2.82042e+06	13401
	781	2.83517e+06	13458.4
	782	2.8495e+06	13516.5
	783	2.86341e+06	13575.2
	784	2.87689e+06	13634.5
	785	2.88994e+06	13694.4
	786	2.90256e+06	13754.8
	787	2.91474e+06	13815.7
	788	2.92648e+06	13877.1
	789	2.93778e+06	13938.9
	790	2.94865e+06	14001.2
	791	2.95907e+06	14063.9
	792	2.96906e+06	14126.9
	793	2.9786e+06	14190.3
	794	2.98771e+06	14254
	795	2.99639e+06	14318
	796	3.00463e+06	14382.3
	797	3.01244e+06	14446.8
	798	3.01983e+06	14511.4
	799	3.02679e+06	14576.3
	800	3.03333e+06	14641.3
	801	3.03946e+06	14706.4
	802	3.04518e+06	14771.6
	803	3.05049e+06	14836.9
	804	3.05539e+06	14902.1
	805	3.05991e+06	14967.4
	806	3.06403e+06	15032.7
	807	3.06777e+06	15097.8
	808	3.07112e+06	15162.9
	809	3.07411e+06	15227.9
	810	3.07672e+06	15292.7
	811	3.07898e+06	15357.4
	812	3.08088e+06	15421.9
	813	3.08243e+06	15486.1
	814	3.08364e+06	15550.1
	815	3.08452e+06	15613.8
	816	3.08506e+06	15677.2
	817	3.08528e+06	15740.3
	818	3.08519e+06	15803
	819	3.08479e+06	15865.4
	820	3.08409e+06	15927.3
	821	3.08309e+06	15988.8
	822	3.0818e+06	16049.8
	823	3.08023e+06	16110.4
	824	3.07839e+06	16170.5
	825	3.07628e+06	16230.1
	826	3.0739e+06	16289.1
